snapshot_id,asset_id,as_of_date,asset_type,department,location,assigned_to,is_unassigned,asset_status,health_at_snapshot,age_years,warranty_days_remaining,open_issues_count,open_critical_or_high_issues,issues_opened_90d,maintenance_open_or_scheduled,maintenance_completed_365d,days_since_last_maintenance,rolling_error_count_30d,avg_cpu_temp_c,has_thermal_reading,reported_uptime_pct,risk_event_30d,risk_event_90d,label_horizon_days
AST-038_2024-01-05,AST-038,2024-01-05,Desktop,HR,Floor 4,Unassigned,1,Active,Needs Attention,3.6,10,4,2,1,1,1,161,0,83.7,1,96.9,1,1,30
AST-282_2024-05-07,AST-282,2024-05-07,Desktop,Sales,Floor 2,Daniel Kim,0,Active,Excellent,6.4,-1,1,0,1,0,3,105,0,50.2,1,94.6,0,0,30
AST-250_2024-01-24,AST-250,2024-01-24,Laptop,Marketing,Floor 3,Alice Tan,0,Active,Good,2.4,220,1,1,4,1,3,193,3,83.3,1,98.7,0,0,30
AST-266_2024-03-03,AST-266,2024-03-03,Laptop,Marketing,Floor 1,Daniel Kim,0,Active,Needs Attention,2.5,434,4,4,5,0,3,165,4,72.4,1,100.0,1,1,30
AST-044_2024-04-05,AST-044,2024-04-05,Laptop,Marketing,Floor 4,Daniel Kim,0,Active,Excellent,4.3,-1,4,1,0,1,3,96,1,65.1,1,96.7,0,1,30
AST-096_2024-06-08,AST-096,2024-06-08,Printer,Marketing,Floor 5,Daniel Kim,0,Active,Fair,3.3,-1,0,0,4,2,5,100,4,-1.0,0,99.1,1,1,30
AST-158_2024-05-31,AST-158,2024-05-31,Printer,Finance,Floor 3,Chris Tan,0,Active,Needs Attention,1.6,-1,2,0,5,2,2,169,8,-1.0,0,97.9,1,1,30
AST-006_2024-04-20,AST-006,2024-04-20,Laptop,Sales,Floor 4,Tom White,0,Active,Excellent,5.8,306,0,0,1,1,4,170,1,64.2,1,99.4,0,0,30
AST-186_2024-01-18,AST-186,2024-01-18,Laptop,Finance,Floor 3,Linda Park,0,Active,Needs Attention,2.2,-1,0,0,6,2,4,179,9,81.4,1,96.0,1,1,30
AST-197_2024-03-19,AST-197,2024-03-19,Printer,Marketing,Floor 5,Emma Roy,0,Active,Good,5.0,-1,1,0,1,1,4,44,3,-1.0,0,95.0,0,0,30
AST-279_2024-06-11,AST-279,2024-06-11,Printer,Marketing,Floor 5,Linda Park,0,Active,Needs Attention,5.6,276,1,0,2,2,4,53,10,-1.0,0,96.3,1,1,30
AST-118_2024-05-06,AST-118,2024-05-06,Laptop,HR,Floor 3,Maria Lopez,0,Active,Excellent,5.0,219,5,1,6,0,4,135,0,80.4,1,99.0,0,1,30
AST-015_2024-04-19,AST-015,2024-04-19,Printer,HR,Floor 5,Bob Lee,0,Active,Needs Attention,1.9,419,4,2,6,1,5,134,7,-1.0,0,94.2,1,1,30
AST-033_2024-01-25,AST-033,2024-01-25,Desktop,HR,Floor 5,Bob Lee,0,Active,Needs Attention,6.6,351,4,2,4,2,2,161,1,61.8,1,100.0,1,1,30
AST-201_2024-04-29,AST-201,2024-04-29,Desktop,Sales,Floor 4,Emma Roy,0,Active,Excellent,0.8,-1,0,0,4,0,1,76,1,82.4,1,99.1,0,0,30
AST-262_2024-02-08,AST-262,2024-02-08,Printer,IT,Floor 3,Kevin Wu,0,Active,Needs Attention,5.1,-1,4,3,6,1,2,8,8,-1.0,0,94.4,1,1,30
AST-071_2024-06-06,AST-071,2024-06-06,Desktop,IT,Floor 2,Bob Lee,0,Active,Needs Attention,4.6,107,3,3,2,2,5,200,3,65.6,1,98.4,1,1,30
AST-206_2024-05-08,AST-206,2024-05-08,Desktop,Marketing,Floor 3,Unassigned,1,Active,Fair,6.8,-1,4,0,5,1,0,86,6,68.3,1,94.5,0,1,30
AST-057_2024-05-24,AST-057,2024-05-24,Laptop,IT,Floor 4,Daniel Kim,0,Active,Needs Attention,2.6,-1,4,4,6,2,4,13,0,67.9,1,94.5,1,1,30
AST-284_2024-06-19,AST-284,2024-06-19,Laptop,HR,Floor 2,Daniel Kim,0,Active,Fair,5.4,-1,1,1,2,2,0,137,6,51.6,1,95.1,1,1,30
AST-192_2024-05-18,AST-192,2024-05-18,Laptop,Marketing,Floor 1,Unassigned,1,Active,Excellent,3.9,610,0,0,1,1,4,40,1,71.8,1,98.8,0,0,30
AST-095_2024-03-30,AST-095,2024-03-30,Laptop,Finance,Floor 3,Bob Lee,0,Active,Fair,3.8,-1,0,0,1,0,5,120,6,74.1,1,96.6,0,0,30
AST-183_2024-05-15,AST-183,2024-05-15,Desktop,Sales,Floor 1,Chris Tan,0,Active,Needs Attention,5.5,310,2,0,5,1,4,119,7,64.1,1,99.3,1,1,30
AST-268_2024-02-14,AST-268,2024-02-14,Printer,HR,Floor 1,Tom White,0,Active,Needs Attention,5.4,771,5,1,5,0,1,142,9,-1.0,0,95.8,1,1,30
AST-290_2024-01-05,AST-290,2024-01-05,Desktop,HR,Floor 1,Unassigned,1,Active,Fair,5.3,102,4,1,0,2,1,180,5,76.5,1,98.3,1,1,30
AST-276_2024-01-24,AST-276,2024-01-24,Desktop,Marketing,Floor 5,Unassigned,1,Active,Needs Attention,3.4,733,5,3,5,2,3,108,10,72.8,1,95.6,1,1,30
AST-297_2024-06-19,AST-297,2024-06-19,Desktop,HR,Floor 2,Linda Park,0,Active,Good,1.8,214,2,0,5,1,2,32,3,52.1,1,94.1,0,1,30
AST-284_2024-02-09,AST-284,2024-02-09,Laptop,HR,Floor 4,Emma Roy,0,Active,Excellent,3.6,362,0,0,1,1,3,85,0,83.2,1,97.9,0,0,30
AST-041_2024-04-22,AST-041,2024-04-22,Desktop,Finance,Floor 1,Bob Lee,0,Active,Fair,3.8,136,5,0,2,2,2,144,5,82.8,1,100.0,1,1,30
AST-191_2024-04-27,AST-191,2024-04-27,Printer,Finance,Floor 3,Linda Park,0,Active,Needs Attention,1.6,-1,3,3,1,1,1,148,9,-1.0,0,96.7,1,1,30
AST-065_2024-03-01,AST-065,2024-03-01,Laptop,Finance,Floor 5,Tom White,0,Active,Good,1.6,-1,1,1,5,2,5,141,3,57.6,1,96.4,1,1,30
AST-226_2024-05-22,AST-226,2024-05-22,Desktop,Sales,Floor 4,Emma Roy,0,Active,Excellent,6.8,37,3,0,4,0,1,80,0,74.0,1,95.5,0,0,30
AST-116_2024-06-04,AST-116,2024-06-04,Desktop,Sales,Floor 2,Linda Park,0,Active,Needs Attention,0.9,120,4,2,6,2,4,83,8,71.7,1,96.5,1,1,30
AST-140_2024-05-17,AST-140,2024-05-17,Laptop,HR,Floor 5,Unassigned,1,Active,Needs Attention,2.1,-1,3,2,5,1,0,73,10,76.2,1,95.2,1,1,30
AST-197_2024-02-14,AST-197,2024-02-14,Printer,Marketing,Floor 3,Daniel Kim,0,Active,Needs Attention,3.3,-1,1,1,5,2,5,19,7,-1.0,0,98.0,1,1,30
AST-274_2024-01-12,AST-274,2024-01-12,Laptop,Marketing,Floor 5,Ravi Kumar,0,Active,Excellent,6.2,-1,3,0,1,1,3,145,1,52.0,1,97.8,0,0,30
AST-046_2024-02-08,AST-046,2024-02-08,Desktop,Sales,Floor 3,Emma Roy,0,Active,Fair,4.2,-1,1,0,6,2,5,80,4,81.3,1,98.8,1,1,30
AST-127_2024-04-15,AST-127,2024-04-15,Laptop,Sales,Floor 4,Chris Tan,0,Active,Good,3.4,-1,0,0,4,1,3,13,3,51.1,1,98.8,0,0,30
AST-010_2024-06-06,AST-010,2024-06-06,Desktop,Sales,Floor 3,Unassigned,1,Active,Needs Attention,1.1,263,4,1,4,2,4,66,10,78.1,1,96.0,1,1,30
AST-246_2024-03-08,AST-246,2024-03-08,Desktop,Finance,Floor 4,Unassigned,1,Active,Needs Attention,1.4,212,0,0,0,1,5,49,8,64.2,1,94.5,1,1,30
AST-194_2024-03-10,AST-194,2024-03-10,Laptop,HR,Floor 4,Ravi Kumar,0,Active,Fair,5.7,-1,0,0,2,1,3,155,6,62.0,1,94.8,0,0,30
AST-218_2024-02-19,AST-218,2024-02-19,Printer,Finance,Floor 5,Unassigned,1,Active,Needs Attention,2.3,-1,5,2,4,1,3,91,2,-1.0,0,96.0,1,1,30
AST-255_2024-01-03,AST-255,2024-01-03,Desktop,Finance,Floor 5,Maria Lopez,0,Active,Fair,1.8,-1,5,1,4,0,5,124,5,74.1,1,96.2,0,1,30
AST-296_2024-05-25,AST-296,2024-05-25,Desktop,IT,Floor 5,John Smith,0,Active,Excellent,2.8,578,1,0,0,2,4,22,1,81.1,1,99.5,1,1,30
AST-244_2024-04-25,AST-244,2024-04-25,Laptop,Marketing,Floor 2,Bob Lee,0,Active,Good,4.1,-1,0,0,4,1,4,77,3,67.7,1,99.3,0,0,30
AST-105_2024-04-04,AST-105,2024-04-04,Desktop,Sales,Floor 2,Alice Tan,0,Active,Needs Attention,3.5,101,0,0,5,1,0,58,8,73.5,1,94.3,1,1,30
AST-129_2024-01-12,AST-129,2024-01-12,Printer,Sales,Floor 1,Bob Lee,0,Active,Fair,5.5,158,5,1,4,0,3,10,6,-1.0,0,94.6,0,1,30
AST-171_2024-04-22,AST-171,2024-04-22,Printer,Finance,Floor 4,Daniel Kim,0,Active,Excellent,1.7,-1,3,1,1,1,5,61,0,-1.0,0,97.8,0,0,30
AST-175_2024-04-11,AST-175,2024-04-11,Printer,Sales,Floor 4,Linda Park,0,Active,Needs Attention,4.1,-1,4,2,1,2,4,175,8,-1.0,0,97.3,1,1,30
AST-170_2024-05-20,AST-170,2024-05-20,Laptop,Finance,Floor 3,Sarah Lim,0,Active,Excellent,0.7,-1,3,0,2,0,0,173,0,61.4,1,96.4,0,0,30
AST-172_2024-05-16,AST-172,2024-05-16,Laptop,Marketing,Floor 5,Ravi Kumar,0,Active,Needs Attention,5.0,152,3,3,2,0,4,148,10,79.4,1,97.9,1,1,30
AST-239_2024-02-18,AST-239,2024-02-18,Printer,Marketing,Floor 4,Unassigned,1,Active,Needs Attention,6.1,24,5,3,3,2,3,185,10,-1.0,0,96.6,1,1,30
AST-118_2024-05-07,AST-118,2024-05-07,Laptop,HR,Floor 4,Maria Lopez,0,Active,Fair,5.4,711,5,0,2,1,5,160,5,68.7,1,98.4,0,1,30
AST-005_2024-04-18,AST-005,2024-04-18,Laptop,Marketing,Floor 5,Ravi Kumar,0,Active,Needs Attention,5.7,-1,0,0,1,1,3,78,7,62.8,1,99.6,1,1,30
AST-269_2024-04-10,AST-269,2024-04-10,Laptop,IT,Floor 2,Unassigned,1,Active,Needs Attention,4.3,-1,2,2,0,1,3,93,1,74.0,1,94.1,1,1,30
AST-039_2024-01-20,AST-039,2024-01-20,Desktop,Sales,Floor 3,Kevin Wu,0,Active,Fair,2.1,-1,4,0,6,1,1,79,6,54.1,1,98.9,0,1,30
AST-251_2024-06-07,AST-251,2024-06-07,Laptop,Marketing,Floor 5,Kevin Wu,0,Active,Fair,0.5,-1,5,1,2,2,2,171,4,77.6,1,94.9,1,1,30
AST-283_2024-03-06,AST-283,2024-03-06,Desktop,IT,Floor 3,Alice Tan,0,Active,Excellent,5.0,462,1,1,1,1,3,110,1,78.5,1,99.9,0,0,30
AST-125_2024-06-13,AST-125,2024-06-13,Laptop,IT,Floor 3,Daniel Kim,0,Active,Needs Attention,1.0,368,5,2,1,2,4,70,4,52.7,1,98.5,1,1,30
AST-036_2024-04-07,AST-036,2024-04-07,Printer,Finance,Floor 5,John Smith,0,Active,Excellent,7.0,-1,1,1,0,0,2,13,0,-1.0,0,94.5,0,0,30
AST-193_2024-06-18,AST-193,2024-06-18,Desktop,Finance,Floor 3,Bob Lee,0,Active,Needs Attention,2.9,-1,5,0,2,0,1,24,9,75.3,1,97.0,1,1,30
AST-099_2024-01-27,AST-099,2024-01-27,Printer,Sales,Floor 1,Linda Park,0,Active,Needs Attention,3.1,-1,5,1,2,2,5,171,10,-1.0,0,96.6,1,1,30
AST-065_2024-02-16,AST-065,2024-02-16,Laptop,Finance,Floor 3,Bob Lee,0,Active,Needs Attention,2.1,-1,5,4,5,1,5,11,6,75.2,1,94.7,1,1,30
AST-140_2024-03-01,AST-140,2024-03-01,Laptop,HR,Floor 5,Tom White,0,Active,Fair,6.7,119,3,1,1,0,1,79,6,76.0,1,96.7,0,0,30
AST-140_2024-04-12,AST-140,2024-04-12,Laptop,HR,Floor 3,Daniel Kim,0,Active,Needs Attention,5.7,-1,4,4,1,2,4,56,6,58.8,1,97.6,1,1,30
AST-283_2024-03-21,AST-283,2024-03-21,Desktop,IT,Floor 1,Bob Lee,0,Active,Needs Attention,1.4,363,5,0,4,2,0,181,9,69.1,1,94.8,1,1,30
